Artista,Titolo,Anno,data_info,Stato
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
CHUCK CLOSE,Dei modi per fare qualcosa,2003,TRUE,OPERA NON ESPOSTA
JEAN COCTEAU,Senza titolo,1920,CIRCA,OPERA NON ESPOSTA
WILLIAM CONGDON,Piazza San Marco #15,1957,TRUE,OPERA NON ESPOSTA
WILLIAM CONGDON,Venezia #1,1957,TRUE,OPERA NON ESPOSTA
WILLIAM CONGDON,Cambogia,1960,TRUE,OPERA NON ESPOSTA
WILLIAM CONGDON,Le Beatitudini,1969,CIRCA,OPERA NON ESPOSTA
PIETRO CONSAGRA,Senza titolo,1948,CIRCA,OPERA NON ESPOSTA
PIETRO CONSAGRA,Senza titolo,1948,CIRCA,OPERA NON ESPOSTA
PIETRO CONSAGRA,Senza titolo,1948,CIRCA,OPERA NON ESPOSTA
PIETRO CONSAGRA,Senza titolo,1948,CIRCA,OPERA NON ESPOSTA
PIETRO CONSAGRA,Colloquio mitico,1959,TRUE,OPERA ESPOSTA
CORNEILLE,La grande sinfonia solare,1964,TRUE,OPERA NON ESPOSTA
JOSEPH CORNELL,Senza titolo (Pappagallo che predice il futuro per Carmen Miranda),1939,CIRCA,OPERA NON ESPOSTA
JOSEPH CORNELL,'Shoot the Chutes' svizzero,1941,TRUE,OPERA NON ESPOSTA
JOSEPH CORNELL,Scena per una fiaba,1942,TRUE,OPERA ESPOSTA
JOSEPH CORNELL,Senza titolo (Farmacia),1942,CIRCA,OPERA NON ESPOSTA
JOSEPH CORNELL,Senza titolo (Principessa Medici),1955,CIRCA,OPERA NON ESPOSTA
JOSEPH CORNELL,Scatola per bolle di sapone,1942,TRUE,OPERA NON ESPOSTA
FRANCO COSTALONGA,Sfera,1969,TRUE,OPERA NON ESPOSTA
EGIDIO COSTANTINI,Ventitré sculture da disegni di Picasso,1964,TRUE,OPERA ESPOSTA
TONY CRAGG,Bottiglie su una mensola,1981,TRUE,OPERA NON ESPOSTA
TONY CRAGG,Silicato,1988,TRUE,OPERA ESPOSTA
ARTISTA NON RICONOSCIUTO,Maschera di corteccia,1950,CIRCA,OPERA NON ESPOSTA
DADAMAINO,"I fatti della vita, Lettera 12",1980,TRUE,OPERA NON ESPOSTA
SALVADOR DALÍ,Senza titolo,1931,TRUE,OPERA ESPOSTA
ALAN DAVIE,Scatola a sorpresa di Peggy,1950,TRUE,OPERA NON ESPOSTA
ALAN DAVIE,Maglia arancione,1960,TRUE,OPERA NON ESPOSTA
ALAN DAVIE,Il tamburino d'oro n. 2,1962,TRUE,OPERA ESPOSTA
STUART DAVIS,"Schizzo a colori per il murale della Drake University (Studio per ""Allée"")",1955,TRUE,OPERA NON ESPOSTA
GIORGIO DE CHIRICO,La nostalgia del poeta,1914,TRUE,OPERA ESPOSTA
GIORGIO DE CHIRICO,Il pomeriggio soave,1916,TRUE,OPERA NON ESPOSTA
WILLEM DE KOONING,Senza titolo,1958,TRUE,OPERA NON ESPOSTA
WILLEM DE KOONING,Senza titolo,1958,TRUE,OPERA NON ESPOSTA
WILLEM DE KOONING,Nudo – Donna sulla spiaggia,1963,TRUE,OPERA ESPOSTA
LUDOVICO DE LUIGI,"Parnassus, Apollo e Papileo Macaon",1970,TRUE,OPERA NON ESPOSTA
ROBERT DELAUNAY,"Finestre aperte simultaneamente 1° parte, 3° motivo",1912,TRUE,OPERA NON ESPOSTA
PAUL DELVAUX,L'aurora,1937,TRUE,OPERA NON ESPOSTA
MARK DI SUVERO,Senza titolo,1962,CIRCA,OPERA NON ESPOSTA
RICHARD DIEBENKORN,Senza titolo (Ocean Park),1975,TRUE,OPERA NON ESPOSTA
